Rank,Player,W,L,T,GP,Pct,PF,PA,GB
1,Abhi,10,4,0,14,0.7142857142857143,2012.7800000000004,1786.6800000000003,0.0
2,Korben,10,4,0,14,0.7142857142857143,1870.38,1791.9000000000003,0.0
3,Rhett,9,5,0,14,0.6428571428571429,1971.3,1681.98,1.0
4,Ben,9,5,0,14,0.6428571428571429,1902.8399999999997,1750.0600000000002,1.0
5,Brayden,7,7,0,14,0.5,1931.16,1847.8400000000001,3.0
6,Weston,7,7,0,14,0.5,1820.6000000000001,1814.8400000000001,3.0
7,Peyton,7,7,0,14,0.5,1790.58,1678.0,3.0
8,James,6,8,0,14,0.42857142857142855,1843.16,1799.32,4.0
9,Houston,6,8,0,14,0.42857142857142855,1759.3999999999999,1890.9,4.0
10,Justice,6,8,0,14,0.42857142857142855,1649.7600000000002,1706.52,4.0
11,Saxon,4,10,0,14,0.2857142857142857,1475.1800000000003,1788.38,6.0
12,Ryan,3,11,0,14,0.21428571428571427,1477.96,1968.6799999999998,7.0
